param_type,num_tensors,numel,ref_norm,cmp_norm,diff_norm,rel_l2,cosine,centered_cosine,rmse,mae,max_abs_diff,ref_mean,cmp_mean,norm_ratio_cmp_over_ref
attn.c_attn.weight,6,4718592,88.20654437293666,85.27453475015544,114.35162308061865,1.296407470596975,0.13134187233472244,0.13134187449455614,0.05264245320312081,0.03952374971575207,0.7421728372573853,1.3893885807192419e-05,6.362728931384886e-07,0.966759726915673
attn.c_proj.weight,6,1572864,44.43638255327932,41.72532920821811,59.974419544968164,1.3496692597120996,0.03200008576840512,0.03200010731033614,0.04782119970858544,0.03599335874120394,0.5578951835632324,-1.394838667086636e-06,1.531824970394761e-05,0.938990233018841
attn.norm.weight,6,3072,54.70694297230471,57.020242141857096,10.300010956138044,0.18827611993147572,0.983852848749879,0.5853733457748892,0.1858348155681998,0.1437801035741965,0.6315705180168152,0.9628009597460429,1.021518498659134,1.0422852940388845
lm_head.weight,1,25755648,257.6339760687631,201.73623326636195,275.5530093058321,1.0695522908526878,0.29960405192920014,0.2976364831866381,0.05429613522567137,0.042356631834695055,0.40610411763191223,0.0018236521849498797,0.004631524777594413,0.7830342734473735
mlp.c_fc.weight,6,6291456,105.66744998035848,100.30141099144618,135.01746758376999,1.277758359919418,0.1413520390366041,0.1413402687853539,0.05382876008186927,0.04238133939603964,0.4495681822299957,0.00020574786321958527,0.00011495491344248876,0.9492176730875047
mlp.c_proj.weight,6,6291456,91.86345690401308,86.83371110225028,124.41701355409054,1.3543689487332515,0.03130276861978025,0.031304009155526225,0.04960257137507494,0.038104740902781487,1.1087137460708618,5.412572439430126e-06,-0.00018537889900471782,0.9452475884179025
mlp.norm.weight,6,3072,59.817603520351504,56.5771006923641,9.078227313412244,0.15176514569534025,0.9893754981650071,0.030033180756881522,0.1637911557238491,0.12703086622059345,1.0288416147232056,1.0690763294696808,1.019304782152176,0.9458269365992754
transformer.ln_f.weight,1,512,52.371266088559956,13.50870657014365,39.078328043255,0.7461787915757744,0.9881147498379357,-0.043188876259611805,1.7270344223011271,1.7165502309799194,2.4889941215515137,2.308297872543335,0.5917474031448364,0.2579411875836721
transformer.wpe.weight,1,524288,16.842473535526835,14.317354803160056,21.022618057004774,1.2481906539832472,0.09684235448016797,0.09685085461609262,0.02903366364531804,0.022173428907990456,0.5052593946456909,4.295374674256891e-05,0.0008343127556145191,0.8500743535656805
transformer.wte.weight,1,25755648,257.6339760687631,201.73623326636195,275.5530093058321,1.0695522908526878,0.29960405192920014,0.2976364831866381,0.05429613522567137,0.042356631834695055,0.40610411763191223,0.0018236521849498797,0.004631524777594413,0.7830342734473735
