checkpoint,label,h_res_mode,key,layer,component,n,identity_fro,identity_rmse,identity_mae,identity_max_abs,diag_mass,diag_mass_frac,offdiag_mass,offdiag_mass_frac,offdiag_abs_mean,offdiag_abs_max,total_mass,row_entropy_mean,row_entropy_norm_mean,row_entropy_norm_max,effective_support_mean,row_top1_mass_mean,row_top1_mass_min,row_top2_mass_mean,row_argmax_is_diag_frac,col_argmax_is_diag_frac,symmetry_fro,symmetry_rmse,row_err_max,row_err_mean,col_err_max,col_err_mean,nonneg_violation_max,nonneg_violation_mean,sparsity_abs_lt_0p0001,offdiag_sparsity_abs_lt_0p0001,sparsity_abs_lt_0p001,offdiag_sparsity_abs_lt_0p001,sparsity_abs_lt_0p01,offdiag_sparsity_abs_lt_0p01
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,transformer.h.0.hc_attn.static_alpha,0,attn,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,transformer.h.0.hc_mlp.static_alpha,0,mlp,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,transformer.h.1.hc_attn.static_alpha,1,attn,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,transformer.h.1.hc_mlp.static_alpha,1,mlp,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,transformer.h.2.hc_attn.static_alpha,2,attn,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,transformer.h.2.hc_mlp.static_alpha,2,mlp,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,transformer.h.3.hc_attn.static_alpha,3,attn,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,transformer.h.3.hc_mlp.static_alpha,3,mlp,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,transformer.h.4.hc_attn.static_alpha,4,attn,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,transformer.h.4.hc_mlp.static_alpha,4,mlp,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,transformer.h.5.hc_attn.static_alpha,5,attn,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-identity-h-res-4streams-10000iter/ckpt.pt,out-owt-small-mhc-identity-h-res-4streams-10000iter,identity,transformer.h.5.hc_mlp.static_alpha,5,mlp,4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-nonnegative-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-4streams-10000iter,alm_nonnegative,transformer.h.0.hc_attn.static_alpha,0,attn,4.0,6.676377233816311e-05,1.6690943084540777e-05,1.4413662938750349e-05,3.153085708618164e-05,3.999884605407715,0.9999711513519287,0.00011540281411726028,2.885070352931507e-05,9.616901479603257e-06,1.198485551867634e-05,4.0,0.0003619570634327829,0.0002610968076623976,0.00027741104713641107,1.0003620386123657,0.9999711513519287,0.9999692440032959,0.999981701374054,1.0,1.0,2.4437217689410318e-06,6.109304422352579e-07,7.748603820800781e-07,4.3213367462158203e-07,2.0265579223632812e-06,1.2814998626708984e-06,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-nonnegative-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-4streams-10000iter,alm_nonnegative,transformer.h.0.hc_mlp.static_alpha,0,mlp,4.0,0.00018913226085714996,4.728306521428749e-05,3.702546382555738e-05,9.810924530029297e-05,3.9997005462646484,0.9999251365661621,0.0002930133487097919,7.325333717744797e-05,2.4417779059149325e-05,7.235826342366636e-05,3.9999935626983643,0.0008270993130281568,0.0005966260214336216,0.0007862416678108275,1.000827431678772,0.999926745891571,0.9999030232429504,0.9999679923057556,1.0,1.0,6.944553751964122e-05,1.7361384379910305e-05,2.384185791015625e-06,1.6093254089355469e-06,2.86102294921875e-06,1.5944242477416992e-06,0.0,0.0,0.75,1.0,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-nonnegative-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-4streams-10000iter,alm_nonnegative,transformer.h.1.hc_attn.static_alpha,1,attn,4.0,0.0002568968047853559,6.422420119633898e-05,4.6810979256406426e-05,0.00013136863708496094,3.9996228218078613,0.9999057054519653,0.0003716186620295048,9.29046655073762e-05,3.0968221835792065e-05,0.00011677962902467698,3.9999942779541016,0.0010002960916608572,0.0007215611403807998,0.001007209299132228,1.0010008811950684,0.9999070763587952,0.9998688101768494,0.9999703168869019,1.0,1.0,0.0001274219248443842,3.185548121109605e-05,6.139278411865234e-06,2.130866050720215e-06,6.020069122314453e-06,3.382563591003418e-06,0.0,0.0,0.6875,0.9166666865348816,0.75,1.0,0.75,1.0
out-owt-small-mhc-alm-nonnegative-4streams-10000iter/ckpt.pt,out-owt-small-mhc-alm-nonnegative-4streams-10000iter,alm_nonnegative,transformer.h.1.hc_mlp.static_alpha,1,mlp,4.0,0.00028257514350116253,7.064378587529063e-05,5.005294951843098e-05,0.00013202428817749023,3.999598503112793,0.9998996257781982,0.0003993502468802035,9.983756172005087e-05,3.3279186027357355e-05,0.00012448096822481602,3.999998092651367,0.0010434581199660897,0.0007526959525421262,0.0009475141996517777,1.0010440349578857,0.9999001026153564,0.999872088432312,0.999989926815033,1.0,1.0,4.826938675250858e-05,1.2067346688127145e-05,4.112720489501953e-06,1.5944242477416992e-06,1.9073486328125e-06,7.003545761108398e-07,0.0,0.0,0.625,0.8333333134651184,0.75,1.0,0.75,1.0
